album_type,artists,album_name,total_tracks,explicit,is_local,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
album,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,17,False,False,Mr. Rager,73,0.6709999999999999,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002,294227,4
album,The Kiboomers,The Best Preschool Learning Songs,21,False,False,The Months of the Year - 2014 Version,27,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.6809999999999999,95.098,89655,4
album,Justin Bieber,My World 2.0,10,False,False,Baby,78,0.728,0.8590000000000001,5,-5.237,0,0.13699999999999998,0.0401,0.0,0.111,0.535,65.043,214240,4
album,First State,Crossroads Yearmix 2010,29,False,False,Reverie - Dash Berlin Remix,22,0.52,0.8959999999999999,4,-6.119,1,0.248,0.0131,0.0128,0.262,0.3720000000000001,133.82,537313,4
album,Mike Posner,31 Minutes to Takeoff,12,False,False,Cooler Than Me - Single Mix,74,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.6890000000000001,0.625,129.965,213293,4
album,Tori Amos,Under the Pink (Deluxe Edition),27,False,False,Pretty Good Year - 2015 Remaster,21,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.15200000000002,205640,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Marry You,73,0.62,0.8320000000000001,10,-4.848,1,0.036000000000000004,0.332,0.0,0.104,0.481,144.92600000000004,230120,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,My Geraldine Lies Over the Delaware,17,0.499,0.726,0,-5.141,1,0.0413,0.000126,0.0,0.366,0.537,110.0,149583,4
album,Gorillaz,Plastic Beach,16,False,False,Rhinestone Eyes,76,0.6759999999999999,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4
single,Riff Raff,DOLCE & GABBANA,2,True,False,Rookie of the Year 2013,17,0.773,0.8590000000000001,2,-6.459,1,0.0573,0.0044,0.007109999999999998,0.117,0.5770000000000001,159.955,121500,4
single,P!nk,Raise Your Glass,2,True,False,Raise Your Glass,76,0.7,0.7090000000000001,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,202960,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Don’t Open the Fridge!,17,0.463,0.95,4,-3.82,1,0.0737,0.00038,0.0,0.0384,0.35200000000000004,107.178,177408,4
album,Two Door Cinema Club,Tourist History,10,False,False,What You Know,69,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.7759999999999999,139.001,191707,4
album,Labi Siffre,Remember My Song,12,False,False,Another Year - 2006 Remaster,24,0.494,0.494,4,-9.736,1,0.0262,0.49,0.0,0.299,0.435,136.844,254427,4
album,Mike Posner,31 Minutes to Takeoff,12,False,False,Please Don't Go,74,0.6990000000000001,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Christmas at 22,17,0.5870000000000001,0.597,4,-5.096,1,0.0294,0.407,0.0,0.705,0.841,93.815,156454,4
album,Rihanna,Loud (Japan Version),13,False,False,S&M,75,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,243600,4
album,Hammock,Longest Year (2020),6,False,False,Longest Year (2020),18,0.0705,0.28600000000000003,2,-14.865,1,0.0444,0.685,0.675,0.187,0.0313,78.251,533707,4
album,Far East Movement,Free Wired,10,False,False,Like A G6,69,0.435,0.8370000000000001,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,216893,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Buzz Aldrin: The Poster Boy for Second Place,16,0.187,0.847,2,-5.075,1,0.07,0.000166,0.0,0.281,0.255,91.869,172211,4
album,Katy Perry,Teenage Dream,12,False,False,Last Friday Night (T.G.I.F.),69,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,4
album,David Bowie,Station to Station (2016 Remaster),6,False,False,Golden Years - 2016 Remaster,61,0.68,0.701,6,-10.36,0,0.036000000000000004,0.316,4.72e-06,0.111,0.933,108.287,243280,4
album,Eminem,Recovery,17,True,False,Not Afraid,77,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.6679999999999999,114.635,248133,5
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Let’s Moshercise!!!,16,0.299,0.674,2,-4.744,1,0.0365,8.170000000000001e-05,0.0006490000000000001,0.134,0.619,98.793,152670,4
album,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,12,False,False,Nothin' on You (feat. Bruno Mars),73,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4
album,Iron Maiden,Somewhere in Time (2015 - Remaster),8,False,False,Wasted Years - 2015 Remaster,54,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.4920000000000001,154.221,309640,4
album,Lady A,Need You Now,11,False,False,Need You Now,70,0.5870000000000001,0.622,4,-5.535,1,0.0303,0.0927,0.0006360000000000001,0.2,0.231,107.943,277573,4
compilation,Pink Floyd,"The Early Years, 1967-1972, Cre/ation",27,False,False,Matilda Mother (2010 Mix) [2016 Remastered Version],19,0.303,0.447,4,-12.278,1,0.0331,0.0364,0.0,0.106,0.185,121.463,239413,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Count on Me,73,0.5770000000000001,0.397,0,-5.98,1,0.028,0.84,0.0,0.0772,0.509,89.044,197373,4
single,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),2,False,False,Funky New Year - 2013 Remaster,17,0.657,0.5379999999999999,9,-10.34,1,0.0591,0.0544,0.0343,0.332,0.785,90.81,241227,4
album,Lil Wayne,I Am Not A Human Being,13,True,False,Right Above It,69,0.376,0.841,3,-4.348,0,0.35600000000000004,0.0435,0.0,0.578,0.463,76.05199999999998,271947,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Zip Lock,16,0.482,0.961,6,-5.055,1,0.136,5.06e-05,4e-06,0.305,0.365,112.485,201947,4
album,The Band Perry,The Band Perry,11,False,False,If I Die Young,68,0.606,0.4970000000000001,4,-6.6110000000000015,1,0.0277,0.348,0.0,0.275,0.362,130.739,222773,4
album,Simply Red,Picture Book (Expanded Version),15,False,False,Holding Back the Years - 2008 Remaster,67,0.7070000000000001,0.514,9,-8.885,0,0.0281,0.58,0.00015900000000000002,0.0953,0.524,86.035,269840,4
album,Katy Perry,Teenage Dream,12,False,False,Teenage Dream,68,0.7190000000000001,0.7979999999999999,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,I Ain’t Saying He A Gold Digga (Sike!),15,0.338,0.758,2,-4.663,1,0.0406,0.000236,0.0,0.345,0.514,94.912,203607,4
album,Miguel,All I Want Is You,13,False,False,Girl With The Tattoo Enter.lewd,70,0.3720000000000001,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,102813,4
single,APRE,Everyone’s Commute,4,False,False,Gap Year 2008,24,0.6509999999999999,0.89,0,-4.745,0,0.0563,0.196,7.219999999999999e-05,0.301,0.866,149.97899999999996,237778,4
album,Rihanna,Loud (Japan Version),13,False,False,Only Girl (In The World),74,0.789,0.706,11,-4.2330000000000005,0,0.0429,0.112,1.7100000000000002e-05,0.0586,0.638,125.911,235493,4
compilation,Pink Floyd,"The Early Years, 1967-1972, Cre/ation",27,False,False,In the Beechwoods - 2010 Mix,17,0.421,0.5920000000000001,7,-9.473,1,0.035,0.0129,0.424,0.237,0.358,122.542,282640,4
album,Taio Cruz,The Rokstarr Hits Collection,15,False,False,Dynamite,80,0.7509999999999999,0.7829999999999999,4,-3.724,1,0.0859,0.00379,0.0,0.036000000000000004,0.816,119.975,202613,4
album,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),11,False,False,Five Years - 2012 Remaster,57,0.46,0.326,7,-10.699000000000002,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531,283753,3
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,The Lazy Song,71,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,174.94299999999996,190213,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Through Two Hearts,15,0.552,0.381,7,-10.762,1,0.027000000000000003,0.7140000000000001,0.0,0.234,0.513,127.116,306931,4
album,Far East Movement,Free Wired,10,False,False,Rocketeer,67,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.35700000000000004,96.005,211253,4
album,2002,Land of Forever,10,False,False,Summer of 300 Years,30,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,326760,4
album,Maroon 5,Hands All Over,13,False,False,Moves Like Jagger - Studio Recording From The Voice Performance,68,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047,201160,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,I Fell in Love with a Ninja Master,14,0.285,0.938,9,-4.789,1,0.156,0.000143,0.000143,0.0951,0.215,119.542,195403,4
album,Usher,Raymond v Raymond (Expanded Edition),22,False,False,OMG (feat. will.i.am),72,0.7809999999999999,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,Cowboy Killers,14,0.422,0.914,4,-4.46,1,0.0783,0.000641,0.0,0.382,0.364,99.962,158161,4
album,Jason Derulo,Jason Derulo,9,False,False,Whatcha Say,66,0.615,0.711,11,-5.5070000000000014,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4
compilation,รวมศิลปิน (เบส์ท ออฟ เดอะ เยียร์ 2010),BEST OF THE YEAR 2010,16,False,False,แค่ที่รัก ( My Boo ),38,0.742,0.617,7,-5.914,0,0.0295,0.112,0.0,0.0931,0.532,97.033,262440,4
album,Kanye West,My Beautiful Dark Twisted Fantasy,13,True,False,Monster,71,0.628,0.6920000000000001,2,-5.64,1,0.202,0.00244,0.0129,0.6679999999999999,0.0963,124.887,378893,5
album,The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,18,False,False,"Cheap Shots, Youth Anthems",14,0.35,0.914,1,-4.66,1,0.0478,1.36e-05,5.11e-06,0.188,0.8240000000000001,103.659,120748,4
album,Kesha,Cannibal (Expanded Edition),12,False,False,We R Who We R,71,0.736,0.8170000000000001,8,-4.9,1,0.0407,0.00987,0.0016699999999999998,0.117,0.653,119.95,204760,4
album,Sting,25 Years,46,False,False,"Russians - Live In Berlin, 2010",22,0.434,0.485,0,-9.416,1,0.0316,0.076,4.26e-05,0.991,0.196,109.437,291267,4
album,Jeremih,All About You,11,False,False,Down On Me,71,0.7,0.598,2,-7.782999999999999,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4
album,Yello,Yello 40 Years,71,False,False,Distant Solution - 2010,22,0.6579999999999999,0.71,0,-10.416,1,0.0438,0.252,0.506,0.12,0.301,81.016,230040,4
album,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,17,True,False,Erase Me - Main,69,0.687,0.631,9,-5.612,1,0.129,0.063,0.0,0.108,0.853,186.071,192253,4
compilation,Various Artists,Raw Talent: 3 Years In The Makin' (2007-2010),21,False,False,Joyrider - Y Tribe's Underground Remix,38,0.878,0.648,6,-6.822,1,0.17600000000000002,0.0475,0.0468,0.036000000000000004,0.96,130.838,239174,4
album,Zac Brown Band,You Get What You Give (Deluxe),16,False,False,Colder Weather,67,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,273893,4
compilation,Various Artists,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),60,False,False,Karibou Ya Bintou,21,0.741,0.622,8,-3.033,0,0.0341,0.6709999999999999,0.0,0.26,0.61,130.989,343333,4
album,Gorillaz,Plastic Beach,16,False,False,On Melancholy Hill,75,0.6890000000000001,0.7390000000000001,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4
album,Robin Trower,A Tale Untold: The Chrysalis Years (1973-1976),45,False,False,Long Misty Days - 2010 Remaster,8,0.339,0.431,7,-12.247,0,0.0309,0.0013800000000000002,0.0,0.104,0.243,83.84700000000002,343173,4
album,Nicki Minaj,Pink Friday,13,True,False,Did It On’em,71,0.562,0.414,7,-7.032,1,0.349,0.0445,0.0,0.204,0.474,155.826,212347,4
compilation,Various Artists,Chimes Of Freedom: The Songs Of Bob Dylan Honoring 50 Years Of Amnesty International,76,False,False,Señor (Tales Of Yankee Power) - Live From The Ryman/2010,8,0.593,0.684,4,-7.2429999999999986,0,0.0309,0.693,3.4e-05,0.972,0.765,104.456,229040,4
album,Ludacris,Battle Of The Sexes (Deluxe),17,True,False,My Chick Bad,68,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,216933,4
album,Razika,Program 91 - 10 Year Anniversary Edition,23,False,False,Vondt i hjertet - 2010 Demo,15,0.6709999999999999,0.22,9,-10.605,1,0.101,0.855,0.0,0.17600000000000002,0.7959999999999999,140.67700000000002,157680,4
album,Bo Burnham,Words Words Words,16,True,False,ART IS DEAD,71,0.5429999999999999,0.623,4,-6.178,1,0.0504,0.86,0.0,0.931,0.6629999999999999,84.97200000000002,152893,4
compilation,Matt Monro,The Best Of The Capitol Years,18,False,False,All Of A Sudden - Remastered 2010,12,0.249,0.336,7,-13.452,1,0.0465,0.647,0.000197,0.442,0.16699999999999998,175.408,203093,3
album,Rick Ross,Teflon Don,11,True,False,Aston Martin Music,69,0.57,0.58,1,-5.5470000000000015,1,0.21,0.0124,0.0,0.0498,0.404,171.812,270627,4
compilation,David Bowie,Who Can I Be Now? [1974 - 1976],104,False,False,Golden Years - 2010 Harry Maslin Mix,11,0.5760000000000001,0.853,6,-9.006,0,0.0443,0.314,0.0,0.155,0.747,108.443,243467,4
album,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,17,False,False,Mr. Rager,67,0.675,0.7340000000000001,7,-8.658999999999999,1,0.0265,0.38,0.895,0.141,0.5329999999999999,101.998,294213,4
album,Darwin Deez,Darwin Deez (10 Yearz),15,False,False,"Up in the Clouds - Live at The BBC for Zane Lowe / 5th May, 2010",7,0.677,0.6629999999999999,11,-4.598,1,0.0413,0.0155,0.0216,0.0348,0.916,146.064,226274,4
album,Cascada,Everytime We Touch (Premium Edition),45,False,False,Everytime We Touch,73,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.02700000000004,197124,4
album,Razika,Program 91 - 10 Year Anniversary Edition,23,False,False,"Vi to e en demo - ""Aldri"" 2010 Demo",10,0.903,0.303,9,-11.7,0,0.203,0.448,0.0,0.255,0.652,119.96,128173,4
album,Bruno Mars,Doo-Wops & Hooligans,10,False,False,Runaway Baby,69,0.6559999999999999,0.767,11,-3.0380000000000003,1,0.0396,0.25,0.0,0.114,0.871,163.834,147747,4
compilation,Various Artists,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),60,False,False,Kadia Blues,17,0.505,0.444,9,-3.4730000000000003,0,0.0297,0.67,0.895,0.125,0.289,95.505,284387,3
album,Josh Turner,Haywire,11,False,False,Why Don't We Just Dance,67,0.677,0.7759999999999999,5,-5.933,1,0.0386,0.42,0.0006889999999999999,0.0954,0.642,121.834,192800,4
compilation,Various Artists,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),60,False,False,Maman,21,0.7390000000000001,0.743,9,-6.318,1,0.0612,0.439,0.000485,0.365,0.731,130.058,320280,4
album,Jason Derulo,Jason Derulo,9,False,False,Ridin' Solo,65,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747,4
compilation,Tegan and Sara,The Complete Recollection: 1999 - 2010,93,False,False,Are You Ten Years Ago,7,0.65,0.6629999999999999,9,-10.053,0,0.0971,0.49,0.000165,0.219,0.5429999999999999,138.016,197600,4
album,Cody Jinks,Less Wise,10,False,False,Hippies and Cowboys,66,0.698,0.584,5,-5.067,1,0.0279,0.0511,0.0,0.295,0.618,115.08,300680,4
album,Sting,25 Years,46,False,False,"The End Of The Game - Live In Berlin, 2010 /Without Intros",14,0.35100000000000003,0.685,2,-9.954,1,0.039,0.0984,1.18e-05,0.743,0.459,82.632,360013,3
album,Prince Royce,Prince Royce,10,False,False,Corazon Sin Cara,71,0.7040000000000001,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.103,211453,4
album,Yello,Yello 40 Years,71,False,False,Tremendous Pain - 2010,22,0.7509999999999999,0.764,8,-8.488,1,0.0355,0.0543,0.0339,0.0566,0.6920000000000001,128.765,212307,4
album,Taio Cruz,Rokstarr,11,False,False,Dynamite,67,0.754,0.804,4,-3.177,1,0.0853,0.0033200000000000005,0.0,0.0329,0.818,119.968,203867,4
album,Pride of Mississippi Marching Band,Sounds of Southern Miss 2010,12,False,False,Reeling in the Years,9,0.53,0.478,10,-16.418,0,0.0368,0.453,0.984,0.112,0.597,69.509,98920,4
album,Nelly,5.0,12,False,False,Just A Dream,72,0.531,0.752,1,-6.1610000000000005,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4
compilation,Various Artists,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),60,False,False,Moussoulou,20,0.5529999999999999,0.606,2,-5.809,0,0.0433,0.168,0.0,0.253,0.94,111.081,311533,4
